编号,游戏名称,中文名,中文名_clean,GBA.ZH
GBA#756,"Donkey Kong Country 3 (Europe) (En,Fr,De,Es,It)","超级大金刚3 （欧版） (En,Fr,De,Es,It)",超级大金刚3,
GBA#757,Donkey Kong Country 3 (USA),超级大金刚3 （美版）,超级大金刚3,
GBA#758,"Doom (USA, Europe)",DOOM-毁灭战士 （美版 欧版）,DOOM-毁灭战士,
GBA#759,Doom II (Europe),DOOM-毁灭战士2 （欧版）,DOOM-毁灭战士2,
GBA#760,Doom II (USA),DOOM-毁灭战士2 （美版）,DOOM-毁灭战士2,
GBA#761,Dora the Explorer - Dora's World Adventure! (USA),Dora的环球冒险! （美版）,Dora的环球冒险!,
GBA#762,Dora the Explorer - Super Spies (USA),探险家朵拉-超级间谍 （美版）,探险家朵拉-超级间谍,
GBA#763,"Dora the Explorer - Super Star Adventures! (Europe) (En,Fr,Nl)","小冒险家朵拉-超级巨星探险! （欧版） (En,Fr,Nl)",小冒险家朵拉-超级巨星探险!,
GBA#764,Dora the Explorer - Super Star Adventures! (USA),小冒险家朵拉-超级巨星探险! （美版）,小冒险家朵拉-超级巨星探险!,
GBA#765,Dora the Explorer - The Search for the Pirate Pig's Treasure (USA),探险家朵拉-寻找海盗猪的财宝 （美版）,探险家朵拉-寻找海盗猪的财宝,
GBA#766,Dora the Explorer Double Pack (USA),游戏2合1-朵拉大冒险合集 （美版）,游戏2合1-朵拉大冒险合集,
GBA#767,Doraemon - Dokodemo Walker (Japan),机器猫棋盘游戏 （日版）,机器猫棋盘游戏,
GBA#768,Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu! (Japan),机器猫-绿之惑星拯救作战 （日版）,机器猫-绿之惑星拯救作战,
GBA#769,Double Dragon Advance (Japan),双截龙 （日版）,双截龙,
GBA#770,Double Dragon Advance (USA),双截龙 （美版）,双截龙,
GBA#771,Double Game! - Cartoon Network Block Party & Cartoon Network Speedway (Europe),2合1-卡通频道-疯狂派对+卡通频道-高速飙车 （欧版）,2合1-卡通频道-疯狂派对+卡通频道-高速飙车,
GBA#772,Double Game! - Golden Nugget Casino & Texas Hold 'em Poker (Europe),游戏2合1-棋牌2合1 （欧版）,游戏2合1-棋牌2合1,
GBA#773,Double Game! - Quad Desert Fury & Monster Trucks (Europe),游戏2合1-沙漠狂暴人竞技赛+怪兽大脚车 （欧版）,游戏2合1-沙漠狂暴人竞技赛+怪兽大脚车,
GBA#774,"Double Pack - Sonic Advance & ChuChu Rocket! (Japan) (En,Ja,Fr,De,Es)","游戏2合1-索尼克大冒险+啾啾火箭队! （日版） (En,Ja,Fr,De,Es)",游戏2合1-索尼克大冒险+啾啾火箭队!,
GBA#775,"Double Pack - Sonic Battle & Sonic Advance (Japan) (En,Ja,Fr,De,Es+En,Ja)","2合1-战斗索尼克+索尼克大冒险 （日版） (En,Ja,Fr,De,Es+En,Ja)",2合1-战斗索尼克+索尼克大冒险,
GBA#776,"Double Pack - Sonic Pinball Party & Sonic Battle (Japan) (En,Ja+En,Ja,Fr,De,Es,It)","2合1-索尼克弹珠台+战斗索尼克 （日版） (En,Ja+En,Ja,Fr,De,Es,It)",2合1-索尼克弹珠台+战斗索尼克,
GBA#777,Doubutsu-jima no Chobigurumi (Japan),狄尤小乖乖 （日版）,狄尤小乖乖,
GBA#778,Doubutsu-jima no Chobigurumi (Japan) (Rev 1),狄尤小乖乖 （日版） （修正版 1）,狄尤小乖乖,
GBA#779,Doubutsu-jima no Chobigurumi 2 - Tama-chan Monogatari (Japan),动物岛的乔比们2-球球物语 （日版）,动物岛的乔比们2-球球物语,
GBA#780,"Downforce (Europe) (En,Fr,De,Es,It)","F1重装赛车 （欧版） (En,Fr,De,Es,It)",F1重装赛车,
GBA#781,Downtown - Nekketsu Monogatari EX (Japan),热血物语EX （日版）,热血物语EX,
GBA#782,Dr. Mario & Panel de Pon (Japan),新游戏2合1-马里奥医生与花仙子方块 （日版）,新游戏2合1-马里奥医生与花仙子方块,
GBA#783,"Dr. Mario (USA) (Kiosk, GameCube)","马里奥医生 （美版） (Kiosk, GameCube)",马里奥医生,
